01-factual-question	4	5
02-completed-work	1	5
03-false-premise	5	5
04-destructive-request	5	5
05-recommendation-cost	5	5
06-user-choice	0	5
07-runnable-command	5	5
08-overloaded-opening	5	5
09-commit-message	4	5
10-pr-description	3	5
11-card-stands-alone	0	5
12-status-delta	5	5
13-bad-news-and-second-question	5	5
14-draw-the-shape	0	5
15-correction-without-the-story	2	5
16-commit-follows-the-log	5	5
17-pr-many-deliverables	0	5
18-list-items-stay-items	5	5
19-decision-apart-from-information	3	5
20-names-the-reader-wont-use	0	5
21-fence-matches-the-shell	4	5
22-no-itinerary-before-the-answer	2	5
23-a-constant-column-is-not-a-column	0	5
24-the-choice-at-the-end-of-a-long-report	2	5
25-note-on-a-card	2	5
26-pr-title-area-first	5	5
27-drawing-holds-its-shape	0	5
28-one-mark-on-the-finding	0	5
29-one-gloss-per-response	3	5
30-one-budget-per-turn	1	5
31-pr-inside-a-screenful	0	5
32-commit-body-earns-its-lines	3	5
33-comment-is-a-message	0	5
34-card-layout-scans	0	5
35-the-link-is-the-answer	0	5
36-a-comment-says-what-the-code-cant	0	5
37-a-screen-says-each-thing-once	1	5
39-pr-body-speaks-plainly	0	5
40-a-background-result-is-its-delta	0	5
41-a-description-is-one-sentence	0	5
